proof_id,user_id,transaction_id,commitment_value,blinding_factor,range_min,range_max,proof_valid,verification_timestamp,proof_type
bbe3b1e8-5299-4b26-a444-b431ad399f62,user_005,3f793950-2b88-4b15-a3b5-9e868f94430a,138242923527800736394854200429117440385,164338,0.0,15000.0,True,2024-01-17 09:00:54,range_proof
4a0419fe-7869-4dd1-9e28-c5dee2a8ad0f,user_011,81226ab7-27d8-4368-bc76-26341f2e2379,150786888519528922611881253979962234133,66551,0.0,15000.0,True,2023-09-05 11:40:21,membership
47d69b69-5d3d-4775-8a8f-dcf45475c39c,user_056,80b30fd4-e315-4652-bd1b-32afcbe63448,150392787536576694149652060157161046243,509418,0.0,15000.0,False,2023-12-05 21:16:15,commitment
3fbed2b5-2c44-4155-8ec1-3b86d30edf3c,user_008,bc658dda-d91a-41c7-8c8f-358437bf8dca,89206310704879888508738038241883253451,311300,0.0,15000.0,True,2024-06-28 07:48:56,commitment
d4f6b904-f07f-4c28-9761-404c53ef7c34,user_089,33bbc0d5-6e11-43ca-8a2d-3914a459f5a5,108476804774809650350405230147205076780,640919,0.0,15000.0,True,2023-10-12 01:37:14,membership
9dbc29c4-c4fe-4415-9166-5936b29bf295,user_011,1bdc55c8-03e7-4a69-9741-4fe11bccd61a,143109186299975407582144502224330953268,457222,0.0,15000.0,True,2024-02-01 16:18:24,commitment
cbe2db1e-0622-4005-be6c-c1d10ca0216f,user_050,70639375-dcca-43af-9410-23957d538b9e,110553122018998532882578033417942177512,188905,0.0,15000.0,True,2023-03-03 19:49:26,membership
2c9b1107-333f-49e6-842a-7dcc9d1a5fb3,user_050,3c18ed85-9732-4f97-807d-e1c939108be3,26109765341213421531469244051725134638,871269,0.0,15000.0,True,2024-08-17 15:51:29,membership
a68530aa-84ce-497d-aa81-b06b4b0aaf80,user_090,498eb4d3-74ef-4631-b683-78b143ff554f,99339560531545672055014167811401152098,475947,0.0,15000.0,True,2024-10-02 00:40:01,membership
56a9fa10-cb21-4979-a95a-cd005d907eab,user_056,f15c86f4-8e9c-4f6b-a9ec-d2a558e15048,155107848254016013436704640840894692278,584980,0.0,15000.0,True,2024-04-10 13:21:58,commitment
df254c5b-3c81-48c9-92e8-567b627c2431,user_064,53dabbca-57c2-49cc-be78-d346c8fb643b,4772903975264790147317324672670624199,243355,0.0,15000.0,True,2022-01-07 08:13:13,commitment
82547b4a-de45-4387-8ed7-52036755d728,user_008,cc738e8c-7dda-4eb0-8029-062896090a5e,106812755377898995064622566838713345157,745469,0.0,15000.0,True,2023-05-24 10:47:01,commitment
812564ba-20fc-4df0-9efd-7d45afb05342,user_071,3ac061aa-8e68-4de0-8459-531921e2c8ab,145563577010234922405589600084970084405,840522,0.0,15000.0,True,2024-04-27 22:56:51,membership
a2729740-446f-4562-8784-6a29dfb65f7b,user_033,edfe465b-de2e-45e3-9cf9-32b860cdba81,87662110484436435691756631823096561815,575288,0.0,15000.0,True,2024-09-03 22:44:22,membership
02bb21c9-a2c1-4c84-9c4f-1432c0483791,user_084,85c72f22-5090-4040-bebd-510589dc39d3,43812539670589694132160954836254921249,267600,0.0,15000.0,True,2023-10-25 11:51:50,membership
d4bc78a3-4178-4ae2-8341-4444a1aaf8a5,user_046,6855e5d8-0490-42d9-9735-aa8c70ece89c,121102116316262257944236355372476505879,416613,0.0,15000.0,True,2024-12-16 02:49:23,commitment
58660ab5-68d6-465d-9933-faaaef5e00ba,user_032,b6922fc8-4d14-4ab2-89b3-c5a221b8c4a4,152375696735622769684229987188104252745,733140,0.0,15000.0,True,2023-12-20 14:09:36,range_proof
fd3801a9-7bac-42cc-87f5-b52e4d05c9a4,user_071,4ee3e1e9-bc90-48cb-bd78-b34bccbf8abf,13001065439576655950171060470645331230,539986,0.0,15000.0,True,2024-08-07 06:19:37,commitment
31696916-0d21-4380-b11b-dc6bb8cee03d,user_096,94e443b2-e9b1-4023-ba34-c85d28160d17,25231733236647117333125355558724800202,569571,0.0,15000.0,True,2024-06-09 00:26:45,range_proof
fa6b85f7-c9a9-49bb-a7ff-71e74d47a88a,user_082,6c688c7f-8475-468b-b3e9-98ef58ce121e,142539525756200597723700424246308467204,24255,0.0,15000.0,True,2022-04-14 17:09:37,commitment
